form	count	english candidates	example
enxugadouro	2	nets (0.27), spreading (0.20), top (0.02), spoil (0.02)	Ezequiel 26:5 — It shall be a place for the spreading of nets in the midst of the sea: for I have spoken it, saith the Lord GOD: and it shall become a spoil to the na
arvade	2	arvad (1.00), gammadims (0.67), pilots (0.33), mariners (0.29)	Ezequiel 27:8 — The inhabitants of Zidon and Arvad were thy mariners: thy wise men, O Tyrus, that were in thee, were thy pilots.
remeiros	2	rowers (0.67), arvad (0.50), pilots (0.33), mariners (0.29)	Ezequiel 27:8 — The inhabitants of Zidon and Arvad were thy mariners: thy wise men, O Tyrus, that were in thee, were thy pilots.
gebal	2	gebal (1.00), calkers (0.50), occupy (0.33), mariners (0.29)	Ezequiel 27:9 — The ancients of Gebal and the wise men thereof were in thee thy calkers: all the ships of the sea with their mariners were in thee to occupy thy merch
minite	2	minnith (1.00), pannag (0.67), traded (0.29), balm (0.25)	Ezequiel 27:17 — Judah, and the land of Israel, they were thy merchants: they traded in thy market wheat of Minnith, and Pannag, and honey, and oil, and balm.
sevene	2	syene (1.00), uphold (0.12), ethiopia (0.09), tower (0.05)	Ezequiel 29:10 — Behold, therefore I am against thee, and against thy rivers, and I will make the land of Egypt utterly waste and desolate, from the tower of Syene eve
ramagem	2	shroud (0.67), shadowing (0.33), boughs (0.21), assyrian (0.11)	Ezequiel 31:3 — Behold, the Assyrian was a cedar in Lebanon with fair branches, and with a shadowing shroud, and of an high stature; and his top was among the thick b
esplendidamente	2	sumptuously (0.67), handling (0.50), fared (0.50), bucklers (0.25)	Ezequiel 38:4 — And I will turn thee back, and put hooks into thy jaws, and I will bring thee forth, and all thine army, horses and horsemen, all of them clothed with
levíticos	2	kindle (0.08), astray (0.07), want (0.05), zadok (0.04)	Ezequiel 44:15 — But the priests the Levites, the sons of Zadok, that kept the charge of my sanctuary when the children of Israel went astray from me, they shall come 
hetlom	2	hethlon (1.00), zedad (0.50), hazar-enan (0.33), hamath (0.06)	Ezequiel 47:15 — And this shall be the border of the land toward the north side, from the great sea, the way of Hethlon, as men go to Zedad;
zedade	2	zedad (1.00), hethlon (0.50), hor (0.14), entrance (0.11)	Ezequiel 47:15 — And this shall be the border of the land toward the north side, from the great sea, the way of Hethlon, as men go to Zedad;
haurã	2	hauran (1.00), berothah (0.67), sibraim (0.67), hazar-hatticon (0.67)	Ezequiel 47:16 — Hamath, Berothah, Sibraim, which is between the border of Damascus and the border of Hamath; Hazar-hatticon, which is by the coast of Hauran.
hazar-enom	2	hazar-enan (0.67), hethlon (0.50), hamath (0.11), damascus (0.07)	Ezequiel 47:17 — And the border from the sea shall be Hazar-enan, the border of Damascus, and the north northward, and the border of Hamath. And this is the north side
benjamin	2	prince's (0.40), ebed-melech (0.25), ethiopian (0.22), dungeon (0.14)	Ezequiel 48:22 — Moreover from the possession of the Levites, and from the possession of the city, being in the midst of that which is the prince's, between the border
mitredate	2	mithredath (1.00), bishlam (0.67), tabeel (0.67), sheshbazzar (0.33)	Esdras 1:8 — Even those did Cyrus king of Persia bring forth by the hand of Mithredath the treasurer, and numbered them unto Sheshbazzar, the prince of Judah.
bilsã	2	bilshan (1.00), reelaiah (0.67), mispar (0.67), raamiah (0.67)	Esdras 2:2 — Which came with Zerubbabel: Jeshua, Nehemiah, Seraiah, Reelaiah, Mordecai, Bilshan, Mispar, Bigvai, Rehum, Baanah. The number of the men of the people
zacai	2	zaccai (1.00), threescore (0.04), seven (0.01), hundred (0.01)	Esdras 2:9 — The children of Zaccai, seven hundred and threescore.
netofa	2	netophah (1.00), beth-lehem (0.06), fourscore (0.05), eight (0.02)	Esdras 2:22 — The men of Netophah, fifty and six.
quefira	2	kirjath-arim (0.67), chephirah (0.67), beeroth (0.50), kirjath-jearim (0.11)	Esdras 2:25 — The children of Kirjath-arim, Chephirah, and Beeroth, seven hundred and forty and three.
senaá	2	senaah (1.00), nine (0.03), thirty (0.02), six (0.01)	Esdras 2:35 — The children of Senaah, three thousand and six hundred and thirty.
hatita	2	hatita (1.00), shobai (1.00), ater (0.57), talmon (0.57)	Esdras 2:42 — The children of the porters: the children of Shallum, the children of Ater, the children of Talmon, the children of Akkub, the children of Hatita, the
sobai	2	hatita (1.00), shobai (1.00), ater (0.57), talmon (0.57)	Esdras 2:42 — The children of the porters: the children of Shallum, the children of Ater, the children of Talmon, the children of Akkub, the children of Hatita, the
hasufa	2	tabbaoth (1.00), ziha (0.80), hasupha (0.67), hashupha (0.67)	Esdras 2:43 — The Nethinims: the children of Ziha, the children of Hasupha, the children of Tabbaoth,
tabaote	2	tabbaoth (1.00), ziha (0.80), hasupha (0.67), hashupha (0.67)	Esdras 2:43 — The Nethinims: the children of Ziha, the children of Hasupha, the children of Tabbaoth,
padom	2	keros (1.00), padon (1.00), siaha (0.67), sia (0.67)	Esdras 2:44 — The children of Keros, the children of Siaha, the children of Padon,
hagaba	2	lebanah (0.67), hagabah (0.67), lebana (0.67), hagaba (0.67)	Esdras 2:45 — The children of Lebanah, the children of Hagabah, the children of Akkub,
gaar	2	gahar (1.00), giddel (0.67), reaiah (0.40), hanan (0.14)	Esdras 2:47 — The children of Giddel, the children of Gahar, the children of Reaiah,
gazão	2	gazzam (1.00), phaseah (0.67), nekoda (0.33), uzza (0.17)	Esdras 2:48 — The children of Rezin, the children of Nekoda, the children of Gazzam,
bacbuque	2	bakbuk (1.00), hakupha (1.00), harhur (1.00), children (0.00)	Esdras 2:51 — The children of Bakbuk, the children of Hakupha, the children of Harhur,
hacufa	2	bakbuk (1.00), hakupha (1.00), harhur (1.00), children (0.00)	Esdras 2:51 — The children of Bakbuk, the children of Hakupha, the children of Harhur,
harur	2	bakbuk (1.00), hakupha (1.00), harhur (1.00), children (0.00)	Esdras 2:51 — The children of Bakbuk, the children of Hakupha, the children of Harhur,
meída	2	mehida (1.00), harsha (1.00), bazluth (0.67), bazlith (0.67)	Esdras 2:52 — The children of Bazluth, the children of Mehida, the children of Harsha,
harsa	2	mehida (1.00), harsha (1.00), bazluth (0.67), bazlith (0.67)	Esdras 2:52 — The children of Bazluth, the children of Mehida, the children of Harsha,
hatifa	2	neziah (1.00), hatipha (1.00), children (0.00)	Esdras 2:54 — The children of Neziah, the children of Hatipha.
sotai	2	sotai (1.00), sophereth (1.00), peruda (0.67), perida (0.67)	Esdras 2:55 — The children of Solomon's servants: the children of Sotai, the children of Sophereth, the children of Peruda,
soferete	2	sotai (1.00), sophereth (1.00), peruda (0.67), perida (0.67)	Esdras 2:55 — The children of Solomon's servants: the children of Sotai, the children of Sophereth, the children of Peruda,
darcom	2	darkon (1.00), jaalah (0.67), giddel (0.67), jaala (0.67)	Esdras 2:56 — The children of Jaalah, the children of Darkon, the children of Giddel,
hatil	2	hattil (1.00), pochereth (1.00), zebaim (1.00), ami (0.67)	Esdras 2:57 — The children of Shephatiah, the children of Hattil, the children of Pochereth of Zebaim, the children of Ami.
poquerete-hazebaim	2	hattil (1.00), pochereth (1.00), zebaim (1.00), ami (0.67)	Esdras 2:57 — The children of Shephatiah, the children of Hattil, the children of Pochereth of Zebaim, the children of Ami.
ami	2	ami (0.67), ammi (0.67), ruhamah (0.67), hattil (0.50)	Esdras 2:57 — The children of Shephatiah, the children of Hattil, the children of Pochereth of Zebaim, the children of Ami.
tel-melá	2	tel-melah (1.00), tel-harsa (0.67), addan (0.67), tel-haresha (0.67)	Esdras 2:59 — And these were they which went up from Tel-melah, Tel-harsa, Cherub, Addan, and Immer: but they could not shew their father's house, and their seed, w
tel-harsa	2	tel-melah (1.00), tel-harsa (0.67), addan (0.67), tel-haresha (0.67)	Esdras 2:59 — And these were they which went up from Tel-melah, Tel-harsa, Cherub, Addan, and Immer: but they could not shew their father's house, and their seed, w
querube	2	tel-melah (1.00), tel-harsa (0.67), addan (0.67), tel-haresha (0.67)	Esdras 2:59 — And these were they which went up from Tel-melah, Tel-harsa, Cherub, Addan, and Immer: but they could not shew their father's house, and their seed, w
habaías	2	habaiah (1.00), koz (0.67), gileadite (0.36), barzillai (0.33)	Esdras 2:61 — And of the children of the priests: the children of Habaiah, the children of Koz, the children of Barzillai; which took a wife of the daughters of Bar
pedágios	2	toll (0.80), endamage (0.67), revenue (0.40), paid (0.18)	Esdras 4:13 — Be it known now unto the king, that, if this city be builded, and the walls set up again, then will they not pay toll, tribute, and custom, and so tho
casifia	2	casiphia (1.00), iddo (0.14), nethinims (0.12), ministers (0.06)	Esdras 8:17 — And I sent them with commandment unto Iddo the chief at the place Casiphia, and I told them what they should say unto Iddo, and to his brethren the Ne
elasa	2	elasah (1.00), gemariah (0.29), elioenai (0.20), jozabad (0.20)	Esdras 10:22 — And of the sons of Pashur; Elioenai, Maaseiah, Ishmael, Nethaneel, Jozabad, and Elasah.
zabai	2	zabbai (1.00), athlai (0.67), bebai (0.29), jehohanan (0.25)	Esdras 10:28 — Of the sons also of Bebai; Jehohanan, Hananiah, Zabbai, and Athlai.
semarias	2	shemariah (0.80), azareel (0.29), malluch (0.25), shelemiah (0.17)	Esdras 10:32 — Benjamin, Malluch, and Shemariah.
bem-aventurança	2	blessedness (0.80), uncircumcision (0.13), reckoned (0.08), plucked (0.07)	Gálatas 4:15 — Where is then the blessedness ye spake of? for I bear you record, that, if it had been possible, ye would have plucked out your own eyes, and have giv
luminar	2	lights (0.10), lesser (0.07), stars (0.03), rule (0.02)	Gênesis 1:16 — And God made two great lights; the greater light to rule the day, and the lesser light to rule the night: he made the stars also.
pisom	2	pison (1.00), compasseth (0.44), havilah (0.40), created (0.02)	Gênesis 2:11 — The name of the first is Pison: that is it which compasseth the whole land of Havilah, where there is gold;
viração	2	cool (0.80), amongst (0.21), walking (0.09), garden (0.05)	Gênesis 3:8 — And they heard the voice of the LORD God walking in the garden in the cool of the day: and Adam and his wife hid themselves from the presence of the L
node	2	nod (1.00), eden (0.10), cain (0.08), east (0.02)	Gênesis 4:16 — And Cain went out from the presence of the LORD, and dwelt in the land of Nod, on the east of Eden.
jabal	2	jabal (1.00), jubal (0.50), organ (0.33), adah (0.31)	Gênesis 4:20 — And Adah bare Jabal: he was the father of such as dwell in tents, and of such as have cattle.
jubal	2	jubal (1.00), organ (0.67), jabal (0.50), handle (0.29)	Gênesis 4:21 — And his brother's name was Jubal: he was the father of all such as handle the harp and organ.
tubalcaim	2	tubal-cain (1.00), instructer (1.00), artificer (0.40), zillah (0.29)	Gênesis 4:22 — And Zillah, she also bare Tubal-cain, an instructer of every artificer in brass and iron: and the sister of Tubal-cain was Naamah.
noema	2	tubal-cain (0.67), instructer (0.67), artificer (0.67), zillah (0.50)	Gênesis 4:22 — And Zillah, she also bare Tubal-cain, an instructer of every artificer in brass and iron: and the sister of Tubal-cain was Naamah.
semeadura	2	seedtime (0.67), sowing (0.50), vintage (0.18), threshing (0.17)	Gênesis 8:22 — While the earth remaineth, seedtime and harvest, and cold and heat, and summer and winter, and day and night shall not cease.
girgaseu	2	girgasite (0.67), girgashites (0.29), jebusite (0.13), amorite (0.13)	Gênesis 10:16 — And the Jebusite, and the Amorite, and the Girgasite,
